,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율,매출액순이익률,CASH FLOW 대 매출액비율,CASH FLOW 대 부채비율,이자보상배율(이자비용),금융비용 대 총비용비율,설비투자효율,CASH FLOW 대 총자본비율,자본금회전률,총자본투자효율,총자본회전률,자기자본순이익률,매출채권회전률,유형자산회전율,부채비율,유동비율,자기자본배율,당좌비율,순운전자본비율,현금비율,타인자본회전률,총자본순이익률,매출액총이익률,매출원가 대 매출액비율,차입금의존도,재고자산회전률,총자산부채비율,현금비율(CASHTA),유보이익대총자산비율,판매관리비대매출액,고정비율,log총자산,총자본증가율,유동자산증가율,매출액증가율,총자산영업이익률,순이익률,이자비용/부채,영업이익증가율,순이익증가율,업종,규모,층화,label
0,(주)CMG제약,58820,19-Dec,제조업,5.17,5.2,3.16,15.35,303,-1.91,114.6,0.96,0.95,9.9,0.38,2.15,3.12,2.83,6.71,1618.07,259.42,1520.84,73.49,199.55,5.21,1.99,49.34,50.66,0.15,6.65,0.062862484,0.096647498,0.026293309,0.448953486,0.216700031,8.28385091,68.07,85.06,17.56,0.016983551,0.019901811,0.000764403,1.400176025,-49.69226843,2,0,2,0
1,(주)ES큐브,50120,19-Dec,서비스업,310.83,-31.5,84.97,9.52,-0.68,5.02,-3.22,8,1.04,-0.12,0.15,-21.76,0.42,2.69,526.65,156.01,129.45,152.69,27.78,48.38,0.2,-4.78,18.75,81.25,14.85,5.18,0.840420031,0.239994363,0.012966525,0.247425182,0.226158043,8.666479304,312.66,696.75,29.45,-0.00908091,-0.04777237,0.017722207,-116.0852395,-124.9094742,1,0,1,0
2,(주)가비아,79940,19-Dec,서비스업,31.93,14.23,19.83,45.28,34.25,0.03,209.21,14.71,21.91,66.57,0.84,15.73,7.19,2.21,48.13,201.58,1081.94,195.45,21.9,66.71,2.9,12.01,48.99,51.01,17.58,64.12,0.324921219,0.143826963,0.35333585,0.329855895,0.565413728,8.300847838,32.01,11.3,15.21,0.135113976,0.12011949,0.01356192,30.50368396,37.55867011,1,1,4,0
3,(주)강스템바이오텍,217730,19-Dec,제조업,29.98,-439.57,-206.5,-27.6,-21.5,1.89,-255.84,-10.91,0.53,-11.83,0.06,-41.61,5.06,0.26,65.37,268.99,587.15,267.69,30.63,37.29,0.17,-28.25,-7.07,107.07,27.22,5.5,0.395309737,0.067587233,-0.679594461,3.785332506,0.512440228,8.055545354,55.26,13.09,-34.49,-0.247848332,-0.282539015,0.030531477,-97.9970017,-84.65379118,2,0,2,0
4,(주)고려시멘트,198440,19-Dec,제조업,31.66,4.79,3.24,5.95,-1.08,-0.22,32.34,1.81,22.18,12.76,0.56,3.88,2.53,1.42,43.63,166.4,2765.65,141.61,14.64,15.86,1.78,2.67,7.5,92.5,9.5,12.68,0.303774715,0.034951116,0.299259067,0.081525279,0.633242234,8.103925351,-0.39,-6.73,-17.32,-0.003610973,0.02668352,0.010682718,-111.9770542,-26.89324645,2,0,2,0
5,(주)고영테크놀러지,98460,19-Dec,제조업,15.76,13.31,11.47,41.2,112.96,-0.65,225.13,8.34,32.41,26.43,0.76,12.59,2.73,6.31,25.37,587.8,3552.55,493.22,61.34,70.8,3.86,10.11,63.58,36.42,4.22,6.56,0.202345215,0.089027775,0.687031647,0.485734298,0.260847277,8.484984465,9.47,-0.78,-6.78,0.114042757,0.101138155,0.005131357,-27.51433585,-30.13493463,2,1,5,0
6,(주)골프존,215000,19-Dec,서비스업,30.53,6.56,14.65,32.16,32.18,-0.42,88.99,11.58,78.73,31.88,0.87,8.21,14.18,2.48,56.26,133.84,6375.45,116.02,6.61,26.2,2.88,5.72,62,38,18.21,23.11,0.360041531,0.051180243,0.406851308,0.489280095,0.738535528,8.494971306,23.04,-43.74,24.31,0.113995496,0.057227666,0.011690768,14.69172202,-20.59585937,1,1,4,0
7,(주)골프존뉴딘홀딩스,121440,19-Dec,서비스업,19.08,-15.22,-3.17,-2.2,-0.36,3.4,8.42,-0.93,10.69,3.91,0.3,-6.89,21.94,0.62,73.61,147.33,2094.93,90.62,5.2,39.3,0.74,-4.49,38.58,61.42,32.57,4.59,0.424000102,0.043188079,0.18346724,0.401646317,0.838074469,8.890076968,0.21,25.76,2.64,-0.00467458,-0.044932635,0.032472067,-425.3756178,-362.9511026,1,1,4,0
8,(주)광림,14200,19-Dec,제조업,163.61,-9.6,-8.75,-7.89,-2.3,2.21,38.25,-5.06,5.69,8.91,0.66,-7.84,6.61,2.44,178.13,77.11,295.96,58.44,-13.46,12.03,1.12,-6.36,7.47,92.53,42.5,5.51,0.640461184,0.070763915,-0.046058848,0.150021324,0.546372793,8.402206777,34.43,52.04,6.79,-0.049891592,-0.063627437,0.036847159,-951.52897,50.75887451,2,1,5,0
9,(주)구영테크,53270,19-Dec,제조업,124.6,1.47,2.37,4.05,1.33,1.69,40.32,2.64,17.49,23.26,1.13,4.8,10.58,1.81,188.09,78.53,543.33,40.02,-9.29,6.93,1.72,1.66,9.61,90.39,45.39,7,0.652881342,0.029961862,0.192608348,0.073410224,0.660332497,8.315066983,1.97,15.51,18.24,0.025610493,0.016558941,0.029378101,-2.597088719,-42.78769884,2,1,5,0
10,(주)국보디자인,66620,19-Dec,제조업,76.46,5.93,1.59,4.31,592.26,-0.89,945.33,1.92,71.73,35.7,1.35,13.75,121.22,34.63,80.37,206.55,3289.7,206.55,45.16,16.28,3.25,8.02,11.99,88.01,0.26,0,0.445592903,0.068990308,0.518405475,0.076894225,0.124469773,8.347359254,27.12,36.86,5.8,0.058142356,0.080205686,0.000235694,-29.80004066,14.92177974,2,1,5,0
11,(주)국영지앤엠,6050,19-Dec,제조업,23.24,1.49,1.83,8.45,15.75,-0.07,26.03,1.95,4.18,11.78,1.13,2.08,29.48,2.37,29.97,261.22,302.77,240.15,28.83,77.08,5.98,1.69,4.51,95.49,6.81,27.93,0.23057782,0.137827394,0.305037387,0.031513008,0.532921873,7.836686733,13.79,27.57,29.68,0.015365939,0.016897409,0.005153888,207.720175,407.1573922,2,0,2,0
12,(주)그래디언트,35080,19-Dec,서비스업,146.37,0.19,3.31,10.18,10.13,-0.04,206.58,6.35,112.17,13.3,1.9,-1.6,7,33.87,165.84,123.13,961.68,114.41,12.74,14.6,3.09,0.36,11.1,88.9,7.52,27.04,0.623838773,0.080410789,0.088813754,0.097812313,0.322041492,9.250432668,-1.64,-4.37,-0.83,0.025163062,0.003625561,0.004044034,126.2322293,255.1344279,1,1,4,0
13,(주)그리티,204020,19-Dec,제조업,23.31,1.27,1.52,10.42,4.95,-0.03,599.19,2.03,15.43,19.31,1.31,2.43,15.7,64.08,24.23,477.62,706.09,233.61,70.87,6.18,6.27,1.66,54.17,45.83,8.14,2.98,0.195010111,0.011596272,0.431900442,0.51802069,0.103609307,7.964502861,-3.76,-7.3,3.2,0.031015213,0.01663936,0.029982579,-63.77988225,-67.50248202,2,1,5,0
14,(주)그린플러스,186230,19-Dec,제조업,46.66,5.19,-5.45,-7.62,3.03,3.59,44.61,-3.68,23.52,19.81,0.72,8.37,4.32,1.51,93.42,220.53,1513.21,186.04,29.08,27.72,1.31,3.72,19.36,80.64,41.21,7.93,0.48298796,0.066883673,0.172301175,0.089587586,0.467934695,7.859270338,13.5,36.93,5.34,0.074643728,0.03724052,0.044840919,-0.574981397,11.59947502,2,0,2,0
15,(주)글로벌스탠다드테크놀로지,83450,19-Dec,제조업,30.07,10.68,6.44,32.38,122.37,-0.01,186.83,7.92,36.11,52.25,1.39,19.83,6.41,4.37,32.37,286.47,2131.39,216.14,42.35,82.31,6.39,14.86,39.44,60.56,4.54,8.34,0.244537324,0.186960058,0.641974971,0.264135361,0.349342394,8.135932296,30.21,62.81,29.56,0.181226283,0.148635061,0.006799449,110.5405427,74.39192319,2,1,5,0
