회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류)
(주)CMG제약,058820,2017/12,제조업
(주)ES큐브,050120,2017/12,도매 및 소매업
(주)가비아,079940,2017/12,정보통신업
(주)강스템바이오텍,217730,2017/12,제조업
(주)강원에너지,114190,2017/12,제조업
(주)고려시멘트,198440,2017/12,제조업
(주)고영테크놀러지,098460,2017/12,제조업
(주)골드앤에스,035290,2017/12,정보통신업
(주)골드퍼시픽,038530,2017/12,도매 및 소매업
(주)골프존,215000,2017/12,정보통신업
(주)골프존뉴딘홀딩스,121440,2017/12,도매 및 소매업
(주)광림,014200,2017/12,제조업
(주)광무,029480,2017/12,제조업
(주)구영테크,053270,2017/12,제조업
(주)국보디자인,066620,2017/12,건설업
(주)국순당,043650,2017/12,제조업
(주)국영지앤엠,006050,2017/12,제조업
(주)그래디언트,035080,2017/12,도매 및 소매업
(주)글로벌스탠다드테크놀로지,083450,2017/12,제조업
(주)금빛,045890,2017/12,제조업
(주)금화피에스시,036190,2017/12,건설업
(주)기가레인,049080,2017/12,제조업
(주)기산텔레콤,035460,2017/12,제조업
(주)나노,187790,2017/12,제조업
(주)나노신소재,121600,2017/12,제조업
(주)나노엔텍,039860,2017/12,제조업
(주)나무가,190510,2017/12,제조업
(주)나스미디어,089600,2017/12,"전문, 과학 및 기술 서비스업"
(주)나이벡,138610,2017/12,제조업
(주)나이스디앤비,130580,2017/12,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)나인테크,267320,2017/12,제조업
(주)내츄럴엔도텍,168330,2017/12,"전문, 과학 및 기술 서비스업"
(주)네오리진,094860,2017/12,정보통신업
(주)네오오토,212560,2017/12,제조업
(주)네오위즈,095660,2017/12,정보통신업
(주)네오위즈홀딩스,042420,2017/12,정보통신업
(주)네오티스,085910,2017/12,제조업
(주)네오팜,092730,2017/12,제조업
(주)네이블커뮤니케이션즈,153460,2017/12,정보통신업
(주)네이처셀,007390,2017/12,제조업
(주)네패스,033640,2017/12,제조업
(주)넥스턴바이오사이언스,089140,2017/12,제조업
(주)넥스트아이,137940,2017/12,제조업
(주)넥스트엔터테인먼트월드,160550,2017/12,정보통신업
(주)넥슨게임즈,225570,2017/12,정보통신업
(주)넵튠,217270,2017/12,정보통신업
(주)노블엠앤비,106520,2017/12,제조업
(주)녹십자셀,031390,2017/12,제조업
(주)녹십자엠에스,142280,2017/12,제조업
(주)녹원씨엔아이,065560,2017/12,제조업
(주)누리플랜,069140,2017/12,제조업
(주)누리플렉스,040160,2017/12,정보통신업
(주)뉴로스,126870,2017/12,제조업
(주)뉴보텍,060260,2017/12,제조업
(주)뉴인텍,012340,2017/12,제조업
(주)뉴파워프라즈마,144960,2017/12,제조업
(주)뉴프렉스,085670,2017/12,제조업
(주)다나와,119860,2017/12,정보통신업
(주)다날,064260,2017/12,정보통신업
(주)다산네트웍스,039560,2017/12,제조업
(주)다우데이타,032190,2017/12,도매 및 소매업
(주)다원시스,068240,2017/12,제조업
